freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.816e+01,6.525e+01,6.902e+02,8.336e+02
1.6,3.897e+02,2.825e+02,4.237e+02,1.096e+03
3.2,4.275e+02,3.739e+02,7.893e+01,8.804e+02
4.8,4.300e+02,4.751e+02,4.448e+02,1.350e+03
6.4,4.546e+02,4.813e+02,1.261e+03,2.197e+03
8.0,4.126e+02,3.452e+02,2.015e+03,2.773e+03
9.6,3.805e+02,3.887e+02,2.999e+03,3.768e+03
11.2,4.492e+02,3.616e+02,4.125e+03,4.936e+03
12.8,4.972e+02,4.541e+02,5.394e+03,6.345e+03
14.4,4.754e+02,3.886e+02,6.913e+03,7.777e+03
16.0,5.251e+02,3.842e+02,8.270e+03,9.179e+03
17.6,5.282e+02,3.436e+02,1.030e+04,1.117e+04
19.1,4.530e+02,4.031e+02,1.297e+04,1.383e+04
20.7,4.761e+02,3.965e+02,1.583e+04,1.671e+04
22.3,5.013e+02,3.166e+02,1.892e+04,1.973e+04
23.9,5.211e+02,3.234e+02,2.262e+04,2.346e+04
25.5,4.817e+02,3.572e+02,2.705e+04,2.788e+04
27.1,5.631e+02,4.072e+02,3.221e+04,3.318e+04
28.7,5.834e+02,3.859e+02,3.776e+04,3.873e+04
30.3,5.533e+02,3.832e+02,4.441e+04,4.534e+04
31.9,6.233e+02,4.585e+02,5.225e+04,5.333e+04
33.5,5.965e+02,5.983e+02,6.004e+04,6.123e+04
35.1,6.336e+02,6.112e+02,7.002e+04,7.126e+04
36.7,5.856e+02,5.970e+02,8.330e+04,8.448e+04
38.3,5.601e+02,7.288e+02,1.006e+05,1.018e+05
39.9,5.696e+02,8.815e+02,1.233e+05,1.248e+05
41.5,5.470e+02,1.084e+03,1.526e+05,1.542e+05
43.1,4.580e+02,1.483e+03,1.911e+05,1.930e+05
44.7,4.652e+02,2.038e+03,2.367e+05,2.392e+05
46.3,5.910e+02,2.801e+03,2.972e+05,3.006e+05
47.9,8.319e+02,3.869e+03,3.896e+05,3.943e+05
49.5,1.062e+03,5.081e+03,5.144e+05,5.205e+05
