freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.501e+01,2.815e+02,9.831e+00,3.564e+02
1.6,6.736e+01,1.793e+02,2.455e+01,2.712e+02
3.2,4.467e+01,5.196e+01,2.305e+01,1.197e+02
4.8,4.205e+01,4.789e+02,2.439e+01,5.454e+02
6.4,4.832e+01,1.510e+03,2.846e+01,1.587e+03
8.0,6.356e+01,1.940e+03,3.002e+01,2.033e+03
9.6,5.491e+01,2.607e+03,2.719e+01,2.689e+03
11.2,4.506e+01,3.862e+03,2.700e+01,3.934e+03
12.8,6.011e+01,5.615e+03,2.913e+01,5.705e+03
14.4,8.362e+01,7.922e+03,3.231e+01,8.038e+03
16.0,7.212e+01,1.020e+04,3.370e+01,1.030e+04
17.6,6.676e+01,1.255e+04,3.001e+01,1.265e+04
19.1,5.739e+01,1.486e+04,4.086e+01,1.496e+04
20.7,6.314e+01,1.780e+04,4.497e+01,1.791e+04
22.3,7.112e+01,2.203e+04,4.402e+01,2.215e+04
23.9,1.058e+02,2.751e+04,5.214e+01,2.766e+04
25.5,1.555e+02,3.393e+04,6.724e+01,3.415e+04
27.1,1.902e+02,4.212e+04,9.279e+01,4.241e+04
28.7,2.127e+02,5.377e+04,1.228e+02,5.410e+04
30.3,3.032e+02,7.040e+04,1.286e+02,7.083e+04
31.9,5.949e+02,9.171e+04,1.199e+02,9.243e+04
33.5,1.044e+03,1.146e+05,1.481e+02,1.157e+05
35.1,1.748e+03,1.356e+05,1.840e+02,1.375e+05
36.7,3.829e+03,1.733e+05,2.146e+02,1.774e+05
38.3,7.430e+03,2.281e+05,3.845e+02,2.359e+05
39.9,1.290e+04,2.878e+05,6.871e+02,3.014e+05
41.5,2.369e+04,3.765e+05,1.188e+03,4.014e+05
43.1,4.048e+04,4.408e+05,2.280e+03,4.836e+05
44.7,4.851e+04,3.869e+05,3.494e+03,4.389e+05
46.3,4.364e+04,2.791e+05,2.793e+03,3.256e+05
47.9,5.482e+04,2.033e+05,1.780e+03,2.599e+05
49.5,5.255e+04,1.488e+05,1.971e+03,2.034e+05
51.1,5.438e+04,1.224e+05,3.932e+03,1.807e+05
52.7,7.571e+04,8.845e+04,5.224e+03,1.694e+05
54.3,1.098e+05,6.547e+04,6.331e+03,1.816e+05
55.8,1.516e+05,6.515e+04,7.277e+03,2.240e+05
57.4,1.740e+05,8.137e+04,7.504e+03,2.629e+05
59.0,1.549e+05,9.792e+04,7.936e+03,2.608e+05
60.6,1.186e+05,1.060e+05,9.284e+03,2.339e+05
62.2,1.050e+05,1.240e+05,1.107e+04,2.401e+05
63.8,1.134e+05,1.636e+05,1.389e+04,2.909e+05
65.4,1.321e+05,2.182e+05,1.469e+04,3.650e+05
67.0,1.309e+05,2.573e+05,1.104e+04,3.993e+05
